theta_hash,lam_settle,beta,gamma,th0,eta_w,del_w,th_write,rho_b,a_init,b0,th_act,t,determinism,completion,reinforcement,contradiction,forgetting,diff_integrity,all_pass,completion_recall,completion_contamination,failures
cecf30fb7c8b1e3491f6c04bad98e83d7161b8e7cf2032cd1a9cafdffab1e456,0.2,1,0.6,0.5,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
24cd95e3703882554e68c9eb0e9c2798b43897c552b8b9ecc2125c781ce5a9c3,0.2,1,0.6,0.5,0.05,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
1cad0a4bbb1a3711415d07ad31f5f57a295f3d1ffc860e42b761d68e4fc64bfc,0.2,1,0.6,0.5,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
66d18f194ca3bfec0cf7ee6378f4d3d795e5f95a061e1479c2861feb3c19452a,0.2,1,0.6,0.5,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
d5a4f64c878bb26d1c272e7e28c1289a1ed29577a42816a5e47c8e59e10e59d2,0.2,1,0.6,0.5,0.15,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
4a643b0c8a5400342882b75d0faf940892ce1fd752deacf5af42da6be267149d,0.2,1,0.6,0.5,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
227a6e8c74a679d36ff54737d6e34bfa056129d7bd828b1ee9644a28a5b9c443,0.2,1,0.6,0.5,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
ab2cb66a2f92839d6737ee353bde7880ba5c7b0ffc1c106ab5d628badc8257eb,0.2,1,0.6,0.5,0.3,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
5d157d05284aad9e69a6e9c1ef02847c911a2d6d89cdbf40a5c9f201e5eacae6,0.2,1,0.6,0.5,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
60a6ae47fd7d935fd64bf9b02f8ba284f0b0fb4e057a93b8ff8dfd13bba6839d,0.2,1,0.6,1,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
