theta_hash,n,completion_assemblies,valid,lam_settle,beta,gamma,th0,k_i,eta_w,del_w,th_write,rho_b,a_init,b0,th_act,t,determinism,completion,reinforcement,contradiction,forgetting,diff_integrity,all_pass,completion_recall,completion_contamination,failures
c1d05436b5a164112ce55373a3862a913fd5f8a8cad28e2c1f219f7f79f35932,512,12,false,0.2,0.8,0.6,1,1,0.05,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
0c5810909f7f404651bf79274356c6754b38d42b60805d551cd53dc07c51c29e,512,12,false,0.2,0.8,0.6,1,1,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
b48923265016c0af16b5ee15038f41bdd55e1398974bb122c382688744aa1560,512,12,false,0.2,0.8,0.6,1,1,0.15,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
4cfecda1c5f879956d912ea2dc2fb7b65b71f70f511eff2f3082469c4edb0364,512,12,false,0.2,0.8,0.6,1,1,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
9f22de1cf9e6aa3915d3bd4718a7aa9c543579e179b33c59aeb491f90e2c39ac,512,12,false,0.2,0.8,0.6,1,1,0.3,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
9ce21e843c85846fb0a7f0c15174dcdaa99c087acf997bbf374269019ae9ff01,512,12,false,0.2,0.8,0.6,1,1,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
4ab3a46b6d363d89ef03d46d3aee080f46b9b09df293881c3292ca8fd91b0cef,512,12,false,0.2,0.8,0.6,1,2,0.05,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
57582ff4523b71c214a56b828c80c52a848aaadb015b0aad7ae7bbd4bfd904c7,512,12,false,0.2,0.8,0.6,1,2,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
de0c62b696df7b84ce8dfa8ef2c097d7a0fb52c0e36323a1f37bf177715ea8b0,512,12,false,0.2,0.8,0.6,1,2,0.15,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
62a12d82240d882d37476fa5a2c3becc1468f0f734fce48d593bd7694b9dcc04,512,12,false,0.2,0.8,0.6,1,2,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
